               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  73,            0.082902,             0.20816,                   0,             0.35993,             0.30402,             0.22607,            0.076652,            0.083214,             0.17317,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.084131,             0.22363,                   0,             0.35993,             0.30402,             0.22607,            0.076652,            0.083214,             0.17317,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.084789,             0.20494,                   0,             0.35993,             0.30402,             0.22607,            0.076652,            0.083214,             0.17317,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.087493,             0.20435,                   0,              0.3612,              0.3051,             0.23584,            0.079233,            0.081867,             0.17312,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.085613,             0.20693,                   0,              0.3612,              0.3051,             0.23584,            0.079233,            0.081867,             0.17312,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.082104,             0.23097,                   0,             0.41181,             0.32248,              0.2769,            0.094283,            0.079779,             0.17336,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.086021,             0.18881,                   0,             0.41181,             0.32248,              0.2769,            0.094283,            0.079779,             0.17336,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.078853,             0.20575,                   0,             0.45691,             0.32248,              0.2967,             0.10482,            0.078762,             0.17301,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.083541,             0.22375,                   0,             0.45691,             0.32248,              0.2967,             0.10482,            0.078762,             0.17301,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.083168,             0.20951,                   0,             0.45691,             0.32248,              0.2967,             0.10482,            0.078762,             0.17301,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.082745,             0.24242,                   0,             0.47101,             0.34528,             0.31446,             0.11308,            0.078537,             0.17283,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.082994,             0.19882,                   0,             0.47101,             0.34528,             0.31446,             0.11308,            0.078537,             0.17283,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.080222,             0.22711,                   0,             0.42194,             0.33768,              0.2938,             0.10317,            0.079134,             0.17197,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.080385,             0.21169,                   0,             0.42194,             0.33768,              0.2938,             0.10317,            0.079134,             0.17197,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.082899,             0.19716,                   0,             0.49656,             0.32248,             0.31713,             0.11175,             0.07762,             0.17246,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.080259,             0.21601,                   0,             0.49656,             0.32248,             0.31713,             0.11175,             0.07762,             0.17246,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.081408,              0.2233,                   0,             0.51748,             0.31922,             0.32714,             0.11993,            0.077336,              0.1727,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.076582,             0.18706,                   0,             0.51748,             0.31922,             0.32714,             0.11993,            0.077336,              0.1727,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.080093,             0.19974,                   0,             0.51748,             0.31922,             0.32714,             0.11993,            0.077336,              0.1727,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.078398,              0.2008,                   0,             0.48331,              0.3279,             0.32272,             0.11799,             0.07736,             0.17269,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.081809,             0.21239,                   0,             0.48331,              0.3279,             0.32272,             0.11799,             0.07736,             0.17269,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.083912,             0.20437,                   0,             0.47722,             0.32682,              0.3179,             0.11683,             0.07723,             0.17281,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.076633,             0.20973,                   0,             0.47722,             0.32682,              0.3179,             0.11683,             0.07723,             0.17281,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.081802,             0.21469,                   0,             0.50491,             0.32573,             0.32474,             0.12018,            0.077029,             0.17311,                   0,            0.000595,            0.000595,            0.000595
                  97,             0.08203,             0.21251,                   0,             0.50491,             0.32573,             0.32474,             0.12018,            0.077029,             0.17311,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.081681,               0.238,                   0,             0.50491,             0.32573,             0.32474,             0.12018,            0.077029,             0.17311,                   0,            0.000397,            0.000397,            0.000397
                  99,             0.07862,             0.21396,                   0,             0.51357,             0.32682,             0.32661,             0.12238,            0.076874,             0.17292,                   0,            0.000298,            0.000298,            0.000298
